game_id,novelty_play,play_seq,recent_similar_game_id,recent_similar_play_seq
CHA199508130,5,"63, K, 53, 1B, E1",NYN198707010,"63, K, 53, 1B, 63"
FLO199508130,5,"K, E5, K, BB, 1B",MON197405100,"K, E5, K, BB, 8"
HOU199508130,5,"8, 1B, K, 1B, 2B",CHA199209250,"8, 1B, K, 1B, 3"
KCA199508130,4,"63, 1B, 54(1), 43",BAL199006180,"63, 1B, 54(1), 9"
LAN199508130,7,"53, K, 8, 1B, CS2, 9, 53",OAK197407060,"53, K, 8, 1B, CS2, 9, 8"
MIL199508130,5,"63, 9, 1B, 2B, 7",CHN192309220,"63, 9, 1B, 2B, 63"
MIN199508130,6,"43, 7, BB, 7, 1B, 1B",CHA199204210,"43, 7, BB, 7, 1B, 54(1)3"
NYA199508130,5,"8, 2B, 53, K, 1B",NY1191007290,"8, 2B, 53, K, 3B"
PHI199508130,5,"1B, K, E1, SB3, BB",CHA199006030,"1B, K, E1, SB3, 1B"
SFN199508130,5,"BB, CS2, 63, 13, BB",CIN193909120,"BB, CS2, 63, 13, 4"
TEX199508130,6,"K, 43, K, 13, 63, 2B",BAL197606210,"K, 43, K, 13, 63, 1B"
ATL199508140,5,"9, 7, BB, 8, 63",KCA198608310,"9, 7, BB, 8, 2B"
BAL199508140,5,"1B, 53, 3, 43, 2B",TOR199107310,"1B, 53, 3, 43, K"
BOS199508140,7,"1B, 1B, SF8, 3, 1B, 8, 3",CHN191107270,"1B, 1B, SF8, 3, 1B, 8, 3B"
CHA199508140,4,"BB, HBP, 1B, SF7",KCA197108290,"BB, HBP, 1B, 46(1)3"
CIN199508140,5,"1B, 4(B)3(1), 8, 1B, SB2",MON198008042,"1B, 4(B)3(1), 8, 1B, K"
KCA199508140,5,"9, 3, HR, 3, 13",PHI194305080,"9, 3, HR, 3, 7"
LAN199508140,5,"BB, 8, 2B, HR, K",NYA193707052,"BB, 8, 2B, HR, 43"
MIL199508140,5,"K, 2B, 1B, 3, K",SLA195108220,"K, 2B, 1B, 3, 63"
MIN199508140,6,"K, 43, 2B, K, 7, BB",BRO195107010,"K, 43, 2B, K, 7, 63"
PHI199508140,5,"3, 6, 9, 7, K",PIT198105030,"3, 6, 9, 7, 7"
SDN199508140,5,"43, 63, 43, 43, 7",BRO192805290,"43, 63, 43, 43, 1B"
SFN199508140,6,"8, 8, 53, K, 43, BB",CHN196907140,"8, 8, 53, K, 43, K"
ATL199508150,5,"9, 4, 3, BB, 1B",SFN199207060,"9, 4, 3, BB, PB"
BAL199508150,5,"BB, 43, 43, 1B, 43",BAL199009120,"BB, 43, 43, 1B, K"
BOS199508150,5,"53, 1B, 46(1)3, 43, 4",CIN194804280,"53, 1B, 46(1)3, 43, K"
